ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-05-22,5.042160585259588,3.240848263710895,8.023567920538735,5.042144217424596,5.042176250879419,0.5620874440383179,0.5620874440383179,0.5620874440383179,0.7664214537503342,0.7664214537503342,0.7664214537503342,-0.20433400971201643,-0.20433400971201643,-0.20433400971201643,0.0,0.0,0.0,5.604248029297906
2024-05-23,5.044954047116596,2.5689379568277,7.690826844069737,5.044937591001874,5.04496977386139,0.050032705145759665,0.050032705145759665,0.050032705145759665,0.1910171999996459,0.1910171999996459,0.1910171999996459,-0.1409844948538861,-0.1409844948538861,-0.1409844948538861,0.0,0.0,0.0,5.094986752262355
2024-05-24,5.047747508973605,3.210229633646259,8.130674458788212,5.04773092035555,5.0477632961791175,0.7084573476799387,0.7084573476799387,0.7084573476799387,0.7913128876283815,0.7913128876283815,0.7913128876283815,-0.08285553994844261,-0.08285553994844261,-0.08285553994844261,0.0,0.0,0.0,5.756204856653543
2024-05-25,5.050540970830613,2.200776150545938,7.094578987351131,5.050524249709225,5.050556828181686,-0.3546404001513225,-0.3546404001513225,-0.3546404001513225,-0.3230594303210492,-0.3230594303210492,-0.3230594303210492,-0.03158096983027331,-0.03158096983027331,-0.03158096983027331,0.0,0.0,0.0,4.6959005706792905
2024-05-26,5.05333443268762,1.7255914767554803,6.649990628756382,5.053317582840017,5.053350377838905,-0.8299869573668981,-0.8299869573668981,-0.8299869573668981,-0.8413673689876351,-0.8413673689876351,-0.8413673689876351,0.011380411620736941,0.011380411620736941,0.011380411620736941,0.0,0.0,0.0,4.223347475320722
2024-05-27,5.0561278945446295,2.0909234151092315,7.137788384664782,5.056111008398836,5.056143904303623,-0.3782717060079665,-0.3782717060079665,-0.3782717060079665,-0.42305168953975814,-0.42305168953975814,-0.42305168953975814,0.04477998353179172,0.04477998353179172,0.04477998353179172,0.0,0.0,0.0,4.677856188536663
2024-05-28,5.058921356401638,2.4869831148157253,7.390581747530819,5.058904436588974,5.058937512221626,-0.09366433425602116,-0.09366433425602116,-0.09366433425602116,-0.16127305253037194,-0.16127305253037194,-0.16127305253037194,0.06760871827435075,0.06760871827435075,0.06760871827435075,0.0,0.0,0.0,4.965257022145616
2024-05-29,5.061714818258646,3.5287721865778443,8.59430021884612,5.061697809951865,5.061731056672541,0.8455415644958344,0.8455415644958344,0.8455415644958344,0.7664214537499624,0.7664214537499624,0.7664214537499624,0.07912011074587205,0.07912011074587205,0.07912011074587205,0.0,0.0,0.0,5.907256382754481
2024-05-30,5.064508280115654,2.9651178233164694,7.854598646663746,5.064491124983599,5.064524635183129,0.2698632836008551,0.2698632836008551,0.2698632836008551,0.19101719999987266,0.19101719999987266,0.19101719999987266,0.07884608360098255,0.07884608360098255,0.07884608360098255,0.0,0.0,0.0,5.334371563716509
2024-05-31,5.0673017419726625,3.620821673131527,8.397203839370132,5.067284440015333,5.067318265037061,0.8579184124162168,0.8579184124162168,0.8579184124162168,0.7913128876293901,0.7913128876293901,0.7913128876293901,0.06660552478682669,0.06660552478682669,0.06660552478682669,0.0,0.0,0.0,5.925220154388879
